name,category,address,locality,lat,lng,price_min,price_max,schedule,description,images,tags,source,last_verified_at
Galería Café Libro (Parque 93),Vida Nocturna,Carrera 11A #93-42,Zona Rosa,4.6753951,-74.047949,50400,50400,mar_sab=17:00-03:00,"Bar de salsa y música en vivo en el Parque de la 93. Esta ficha corresponde a la sede Parque 93. Según la sede, los domingos prefestivos abre desde las 6:00 p.m.",,salsa|musica_en_vivo,https://www.galeriacafelibro.com.co/page/sedes,2026-08-13
Casa Quiebra Canto,Vida Nocturna,Carrera 5 #17-76,Santa Fe,4.6032177,-74.0706732,45000,45000,jue_sab=17:00-03:00,"Bar de salsa en el centro de Bogotá, con orquesta en vivo los fines de semana.",,salsa|musica_en_vivo,https://hotelesb3.com/en/salsa-en-bogota-top-5-de-los-mejores-bares-de-salsa/,2026-08-13
